# dir.des.scop.txt 
# SCOP release 1.69 (July 2005)  [File format version 1.00]
# http://scop.mrc-lmb.cam.ac.uk/scop/
# Copyright (c) 1994-2005 the scop authors; see http://scop.mrc-lmb.cam.ac.uk/scop/lic/copy.html
46456	cl	a	-	All alpha proteins
15099	px	a.1.1.2	d1cq2a_	1cq2 A:
15108	px	a.1.1.2	d1mlk__	1mlk -
15098	px	a.1.1.2	d2cmm__	2cmm -
15106	px	a.1.1.2	d1mln__	1mln -
15105	px	a.1.1.2	d1mlh__	1mlh -
15104	px	a.1.1.2	d1mlg__	1mlg -
15117	px	a.1.1.2	d2mgk__	2mgk -
15100	px	a.1.1.2	d1ebca_	1ebc A:
15107	px	a.1.1.2	d1mod__	1mod -
15101	px	a.1.1.2	d106m__	106m -
15111	px	a.1.1.2	d1ch3a_	1ch3 A:
15116	px	a.1.1.2	d1mlj__	1mlj -
15113	px	a.1.1.2	d1moc__	1moc -
15110	px	a.1.1.2	d2mgl__	2mgl -
15112	px	a.1.1.2	d1mlq__	1mlq -
15118	px	a.1.1.2	d2mgi__	2mgi -
15114	px	a.1.1.2	d1mti__	1mti -
15123	px	a.1.1.2	d1cp5a_	1cp5 A:
15121	px	a.1.1.2	d1mbi__	1mbi -
15119	px	a.1.1.2	d2mgj__	2mgj -
15124	px	a.1.1.2	d103m__	103m -
15122	px	a.1.1.2	d107m__	107m -
15125	px	a.1.1.2	d101m__	101m -
15120	px	a.1.1.2	d4mbn__	4mbn -
15126	px	a.1.1.2	d5mbn__	5mbn -
15127	px	a.1.1.2	d1ch5a_	1ch5 A:
15128	px	a.1.1.2	d105m__	105m -
15129	px	a.1.1.2	d2mgh__	2mgh -
67005	px	a.1.1.2	d1jp6a_	1jp6 A:
15131	px	a.1.1.2	d2mya__	2mya -
15133	px	a.1.1.2	d2mga__	2mga -
15134	px	a.1.1.2	d1mob__	1mob -
15132	px	a.1.1.2	d1spe__	1spe -
15135	px	a.1.1.2	d112m__	112m -
15137	px	a.1.1.2	d1duoa_	1duo A:
67009	px	a.1.1.2	d1jp8a_	1jp8 A:
15136	px	a.1.1.2	d1cpwa_	1cpw A:
15138	px	a.1.1.2	d2mb5__	2mb5 -
15139	px	a.1.1.2	d1vxa__	1vxa -
15140	px	a.1.1.2	d1dtma_	1dtm A:
15141	px	a.1.1.2	d1irc__	1irc -
15144	px	a.1.1.2	d1iop__	1iop -
15143	px	a.1.1.2	d1duka_	1duk A:
15142	px	a.1.1.2	d108m__	108m -
15145	px	a.1.1.2	d1vxb__	1vxb -
15146	px	a.1.1.2	d1mbn__	1mbn -
15148	px	a.1.1.2	d1f6ha_	1f6h A:
15147	px	a.1.1.2	d1myf__	1myf -
103835	px	a.1.1.2	d1j3fa_	1j3f A:
107815	px	a.1.1.2	d1ufja_	1ufj A:
107818	px	a.1.1.2	d1ufpa_	1ufp A:
46471	sp	a.1.1.2	-	Sea hare (Aplysia limacina)
15149	px	a.1.1.2	d1mba__	1mba -
15150	px	a.1.1.2	d2fal__	2fal -
15151	px	a.1.1.2	d5mba__	5mba -
15152	px	a.1.1.2	d3mba__	3mba -
15153	px	a.1.1.2	d1dm1a_	1dm1 A:
15154	px	a.1.1.2	d2fam__	2fam -
15155	px	a.1.1.2	d4mba__	4mba -
46472	sp	a.1.1.2	-	Common seal (Phoca vitulina)
15156	px	a.1.1.2	d1mbs__	1mbs -
46473	sp	a.1.1.2	-	Pig (Sus scrofa)
15157	px	a.1.1.2	d1mwca_	1mwc A:
15158	px	a.1.1.2	d1mwcb_	1mwc B:
15159	px	a.1.1.2	d1mwda_	1mwd A:
15160	px	a.1.1.2	d1mwdb_	1mwd B:
15161	px	a.1.1.2	d1myga_	1myg A:
15162	px	a.1.1.2	d1mygb_	1myg B:
15163	px	a.1.1.2	d1m6ma_	1m6m A:
15164	px	a.1.1.2	d1m6mb_	1m6m B:
15165	px	a.1.1.2	d1m6ca_	1m6c A:
15166	px	a.1.1.2	d1m6cb_	1m6c B:
15167	px	a.1.1.2	d1mnoa_	1mno A:
15168	px	a.1.1.2	d1mnob_	1mno B:
15171	px	a.1.1.2	d1myja_	1myj A:
15172	px	a.1.1.2	d1myjb_	1myj B:
15173	px	a.1.1.2	d1mnia_	1mni A:
15174	px	a.1.1.2	d1mnib_	1mni B:
15169	px	a.1.1.2	d1mdna_	1mdn A:
15170	px	a.1.1.2	d1mdnb_	1mdn B:
15175	px	a.1.1.2	d1myia_	1myi A:
15176	px	a.1.1.2	d1myib_	1myi B:
15179	px	a.1.1.2	d1mnja_	1mnj A:
15180	px	a.1.1.2	d1mnjb_	1mnj B:
15177	px	a.1.1.2	d1myha_	1myh A:
15178	px	a.1.1.2	d1myhb_	1myh B:
15181	px	a.1.1.2	d1mnka_	1mnk A:
15182	px	a.1.1.2	d1mnkb_	1mnk B:
15183	px	a.1.1.2	d1ycba_	1ycb A:
15184	px	a.1.1.2	d1ycbb_	1ycb B:
15185	px	a.1.1.2	d1ycaa_	1yca A:
15186	px	a.1.1.2	d1ycab_	1yca B:
15187	px	a.1.1.2	d1mnh__	1mnh -
15188	px	a.1.1.2	d1pmba_	1pmb A:
15189	px	a.1.1.2	d1pmbb_	1pmb B:
46474	sp	a.1.1.2	-	Horse (Equus caballus)
70191	px	a.1.1.2	d1gjna_	1gjn A:
15190	px	a.1.1.2	d1dwta_	1dwt A:
15191	px	a.1.1.2	d1dwsa_	1dws A:
15192	px	a.1.1.2	d1dwra_	1dwr A:
15193	px	a.1.1.2	d1hrm__	1hrm -
86438	px	a.1.1.2	d1nz3a_	1nz3 A:
15195	px	a.1.1.2	d1wla__	1wla -
15194	px	a.1.1.2	d1xch__	1xch -
15196	px	a.1.1.2	d1rse__	1rse -
92037	px	a.1.1.2	d1npga_	1npg A:
86440	px	a.1.1.2	d1nz5a_	1nz5 A:
86437	px	a.1.1.2	d1nz2a_	1nz2 A:
15197	px	a.1.1.2	d1bje__	1bje -
92036	px	a.1.1.2	d1npfa_	1npf A:
86439	px	a.1.1.2	d1nz4a_	1nz4 A:
15198	px	a.1.1.2	d1hsy__	1hsy -
15199	px	a.1.1.2	d1ymb__	1ymb -
15200	px	a.1.1.2	d1ymc__	1ymc -
15201	px	a.1.1.2	d1azi__	1azi -
15202	px	a.1.1.2	d1yma__	1yma -
46475	sp	a.1.1.2	-	Human (Homo sapiens)
15203	px	a.1.1.2	d2mm1__	2mm1 -
46476	sp	a.1.1.2	-	Asian elephant (Elephas maximus)
15204	px	a.1.1.2	d1emy__	1emy -
46477	sp	a.1.1.2	-	Loggerhead sea turtle (Caretta caretta)
15205	px	a.1.1.2	d1lht__	1lht -
15206	px	a.1.1.2	d1lhs__	1lhs -
46478	sp	a.1.1.2	-	Yellowfin tuna (Thunnus albacares)
15207	px	a.1.1.2	d1myt__	1myt -
46479	dm	a.1.1.2	-	Erythrocruorin
46480	sp	a.1.1.2	-	Midge (Chironomus thummi thummi), fraction III
15208	px	a.1.1.2	d1eco__	1eco -
15209	px	a.1.1.2	d1eca__	1eca -
15210	px	a.1.1.2	d1ecn__	1ecn -
15211	px	a.1.1.2	d1ecd__	1ecd -
46481	dm	a.1.1.2	-	Leghemoglobin
46482	sp	a.1.1.2	-	Yellow lupin (Lupinus luteus)
15212	px	a.1.1.2	d2gdm__	2gdm -
15213	px	a.1.1.2	d1gdj__	1gdj -
15214	px	a.1.1.2	d1gdi__	1gdi -
15215	px	a.1.1.2	d1gdk__	1gdk -
15216	px	a.1.1.2	d1gdl__	1gdl -
15226	px	a.1.1.2	d1lh2__	1lh2 -
15227	px	a.1.1.2	d1lh5__	1lh5 -
15217	px	a.1.1.2	d2lh1__	2lh1 -
15218	px	a.1.1.2	d2lh7__	2lh7 -
15220	px	a.1.1.2	d2lh2__	2lh2 -
15219	px	a.1.1.2	d2lh5__	2lh5 -
15222	px	a.1.1.2	d1lh1__	1lh1 -
15225	px	a.1.1.2	d2lh6__	2lh6 -
15223	px	a.1.1.2	d1lh7__	1lh7 -
15221	px	a.1.1.2	d1lh3__	1lh3 -
15224	px	a.1.1.2	d2lh3__	2lh3 -
15228	px	a.1.1.2	d1lh6__	1lh6 -
46483	sp	a.1.1.2	-	Soybean (Glycine max), isoform A
15229	px	a.1.1.2	d1fsla_	1fsl A:
15230	px	a.1.1.2	d1fslb_	1fsl B:
15231	px	a.1.1.2	d1bina_	1bin A:
15232	px	a.1.1.2	d1binb_	1bin B:
46484	dm	a.1.1.2	-	Non-symbiotic plant hemoglobin
46485	sp	a.1.1.2	-	Rice (Oryza sativa)
15233	px	a.1.1.2	d1d8ua_	1d8u A:
15234	px	a.1.1.2	d1d8ub_	1d8u B:
46486	dm	a.1.1.2	-	Hemoglobin, alpha-chain
46487	sp	a.1.1.2	-	Human (Homo sapiens)
66286	px	a.1.1.2	d1irda_	1ird A:
84104	px	a.1.1.2	d1j41a_	1j41 A:
84106	px	a.1.1.2	d1j41c_	1j41 C:
84108	px	a.1.1.2	d1j41e_	1j41 E:
84110	px	a.1.1.2	d1j41g_	1j41 G:
84096	px	a.1.1.2	d1j40a_	1j40 A:
84098	px	a.1.1.2	d1j40c_	1j40 C:
84100	px	a.1.1.2	d1j40e_	1j40 E:
84102	px	a.1.1.2	d1j40g_	1j40 G:
15235	px	a.1.1.2	d1baba_	1bab A:
15236	px	a.1.1.2	d1babc_	1bab C:
84080	px	a.1.1.2	d1j3ya_	1j3y A:
84082	px	a.1.1.2	d1j3yc_	1j3y C:
84084	px	a.1.1.2	d1j3ye_	1j3y E:
84086	px	a.1.1.2	d1j3yg_	1j3y G:
15237	px	a.1.1.2	d1bz0a_	1bz0 A:
15238	px	a.1.1.2	d1bz0c_	1bz0 C:
84088	px	a.1.1.2	d1j3za_	1j3z A:
84090	px	a.1.1.2	d1j3zc_	1j3z C:
84092	px	a.1.1.2	d1j3ze_	1j3z E:
84094	px	a.1.1.2	d1j3zg_	1j3z G:
92095	px	a.1.1.2	d1ns9a_	1ns9 A:
15241	px	a.1.1.2	d1bz1a_	1bz1 A:
15242	px	a.1.1.2	d1bz1c_	1bz1 C:
15239	px	a.1.1.2	d1bzza_	1bzz A:
15240	px	a.1.1.2	d1bzzc_	1bzz C:
66426	px	a.1.1.2	d1j7ya_	1j7y A:
66428	px	a.1.1.2	d1j7yc_	1j7y C:
15243	px	a.1.1.2	d1thba_	1thb A:
15244	px	a.1.1.2	d1thbc_	1thb C:
92051	px	a.1.1.2	d1nqpa_	1nqp A:
92053	px	a.1.1.2	d1nqpc_	1nqp C:
15249	px	a.1.1.2	d1qsha_	1qsh A:
15250	px	a.1.1.2	d1qshc_	1qsh C:
15247	px	a.1.1.2	d1a3na_	1a3n A:
15248	px	a.1.1.2	d1a3nc_	1a3n C:
15245	px	a.1.1.2	d2hhba_	2hhb A:
15246	px	a.1.1.2	d2hhbc_	2hhb C:
15255	px	a.1.1.2	d1bbba_	1bbb A:
15256	px	a.1.1.2	d1bbbc_	1bbb C:
15269	px	a.1.1.2	d1dxua_	1dxu A:
15270	px	a.1.1.2	d1dxuc_	1dxu C:
15259	px	a.1.1.2	d1dxva_	1dxv A:
15260	px	a.1.1.2	d1dxvc_	1dxv C:
15251	px	a.1.1.2	d4hhba_	4hhb A:
15252	px	a.1.1.2	d4hhbc_	4hhb C:
15257	px	a.1.1.2	d1qsia_	1qsi A:
15258	px	a.1.1.2	d1qsic_	1qsi C:
15265	px	a.1.1.2	d1sdka_	1sdk A:
15266	px	a.1.1.2	d1sdkc_	1sdk C:
15267	px	a.1.1.2	d1dxta_	1dxt A:
15268	px	a.1.1.2	d1dxtc_	1dxt C:
81068	px	a.1.1.2	d1o1oa_	1o1o A:
81070	px	a.1.1.2	d1o1oc_	1o1o C:
15261	px	a.1.1.2	d1c7ca1	1c7c A:1-142
15262	px	a.1.1.2	d1c7ca2	1c7c A:143-283
15253	px	a.1.1.2	d1sdla_	1sdl A:
15254	px	a.1.1.2	d1sdlc_	1sdl C:
15263	px	a.1.1.2	d1qi8a_	1qi8 A:
15264	px	a.1.1.2	d1qi8c_	1qi8 C:
81064	px	a.1.1.2	d1o1na1	1o1n A:1-141
81065	px	a.1.1.2	d1o1na2	1o1n A:145-285
81048	px	a.1.1.2	d1o1ja1	1o1j A:1-142
81049	px	a.1.1.2	d1o1ja2	1o1j A:143-283
15274	px	a.1.1.2	d1a3oa_	1a3o A:
15275	px	a.1.1.2	d1a3oc_	1a3o C:
81072	px	a.1.1.2	d1o1pa1	1o1p A:1-142
81073	px	a.1.1.2	d1o1pa2	1o1p A:143-283
15271	px	a.1.1.2	d1a01a_	1a01 A:
15272	px	a.1.1.2	d1a01c_	1a01 C:
96523	px	a.1.1.2	d1qxea_	1qxe A:
96525	px	a.1.1.2	d1qxec_	1qxe C:
96836	px	a.1.1.2	d1r1ya_	1r1y A:
96838	px	a.1.1.2	d1r1yc_	1r1y C:
15280	px	a.1.1.2	d1g9va_	1g9v A:
15281	px	a.1.1.2	d1g9vc_	1g9v C:
67987	px	a.1.1.2	d1k0ya_	1k0y A:
67989	px	a.1.1.2	d1k0yc_	1k0y C:
15273	px	a.1.1.2	d3hhba_	3hhb A:
15276	px	a.1.1.2	d1c7ba_	1c7b A:
15277	px	a.1.1.2	d1c7bc_	1c7b C:
97722	px	a.1.1.2	d1rq3a_	1rq3 A:
97724	px	a.1.1.2	d1rq3c_	1rq3 C:
15284	px	a.1.1.2	d1gbua_	1gbu A:
15285	px	a.1.1.2	d1gbuc_	1gbu C:
15278	px	a.1.1.2	d1c7da1	1c7d A:1-142
15279	px	a.1.1.2	d1c7da2	1c7d A:143-284
15282	px	a.1.1.2	d1vwta_	1vwt A:
15283	px	a.1.1.2	d1vwtc_	1vwt C:
99438	px	a.1.1.2	d1uiwa_	1uiw A:
99440	px	a.1.1.2	d1uiwc_	1uiw C:
99442	px	a.1.1.2	d1uiwe_	1uiw E:
99444	px	a.1.1.2	d1uiwg_	1uiw G:
92093	px	a.1.1.2	d1ns6a_	1ns6 A:
15288	px	a.1.1.2	d1abwa1	1abw A:1-142
15289	px	a.1.1.2	d1abwa2	1abw A:143-283
81060	px	a.1.1.2	d1o1ma1	1o1m A:1-141
81061	px	a.1.1.2	d1o1ma2	1o1m A:145-285
81056	px	a.1.1.2	d1o1la1	1o1l A:1-142
81057	px	a.1.1.2	d1o1la2	1o1l A:143-283
15292	px	a.1.1.2	d1clsa_	1cls A:
15293	px	a.1.1.2	d1clsc_	1cls C:
15290	px	a.1.1.2	d1a00a_	1a00 A:
15291	px	a.1.1.2	d1a00c_	1a00 C:
15294	px	a.1.1.2	d1buwa_	1buw A:
15295	px	a.1.1.2	d1buwc_	1buw C:
15296	px	a.1.1.2	d2hbsa_	2hbs A:
15297	px	a.1.1.2	d2hbsc_	2hbs C:
15298	px	a.1.1.2	d2hbse_	2hbs E:
15299	px	a.1.1.2	d2hbsg_	2hbs G:
15300	px	a.1.1.2	d1hbba_	1hbb A:
15301	px	a.1.1.2	d1hbbc_	1hbb C:
15302	px	a.1.1.2	d1a0za_	1a0z A:
15303	px	a.1.1.2	d1a0zc_	1a0z C:
84382	px	a.1.1.2	d1kd2a_	1kd2 A:
84384	px	a.1.1.2	d1kd2c_	1kd2 C:
66421	px	a.1.1.2	d1j7wa_	1j7w A:
66423	px	a.1.1.2	d1j7wc_	1j7w C:
81052	px	a.1.1.2	d1o1ka_	1o1k A:
81054	px	a.1.1.2	d1o1kc_	1o1k C:
15304	px	a.1.1.2	d6hbwa_	6hbw A:
15305	px	a.1.1.2	d6hbwc_	6hbw C:
15312	px	a.1.1.2	d2hhda_	2hhd A:
15313	px	a.1.1.2	d2hhdc_	2hhd C:
66417	px	a.1.1.2	d1j7sa_	1j7s A:
66419	px	a.1.1.2	d1j7sc_	1j7s C:
15308	px	a.1.1.2	d1a0ya_	1a0y A:
15309	px	a.1.1.2	d1a0yc_	1a0y C:
77227	px	a.1.1.2	d1k1ka_	1k1k A:
97712	px	a.1.1.2	d1rpsa_	1rps A:
97714	px	a.1.1.2	d1rpsc_	1rps C:
15310	px	a.1.1.2	d1gbva_	1gbv A:
